titolo,autore,isbn,editore,data_fatturazione,giacenza,vendite_30g,prezzo,sconto,Categoria,Scaffale
Ref Alpha,Autore Uno,9788801000001,Einaudi,15/03/2022,12,0,19.00,5.70,Narrativa,A1
Ref Beta,Autore Due,9788801000002,Einaudi,20/04/2022,9,0,13.50,4.05,Classici,A2
Ref Gamma,Autore Tre,9788801000003,Einaudi,10/06/2022,8,1,13.00,3.90,Narrativa,B1
Ref Delta,Autore Quattro,9788801000004,Einaudi,15/07/2022,7,0,12.00,3.60,Poesia,B2
Ref Epsilon,Autore Cinque,9788801000005,Feltrinelli,20/01/2022,10,1,14.00,4.20,Narrativa,C1
Ref Zeta,Autore Sei,9788801000006,Feltrinelli,15/02/2022,8,0,11.00,3.30,Saggistica,C2
Ref Eta,Autore Sette,9788801000007,Feltrinelli,10/03/2022,6,0,15.00,4.50,Narrativa,D1
Ref Theta,Autore Otto,9788801000008,Mondadori,20/04/2022,9,1,14.00,4.20,Classici,D2
Ref Iota,Autore Nove,9788801000009,Mondadori,15/05/2022,7,0,12.00,3.60,Narrativa,E1
Ref Kappa,Autore Dieci,9788801000010,Mondadori,20/06/2022,6,0,16.00,4.80,Saggistica,E2
